customer_id,first_name,last_name,phone,email,street,city,state,zip_code,extract_time,source,local
30,Jamaal,Albert,Not available,jamaal.albert@gmail.com,853 Stonybrook Street ,Torrance,CA,90505,1714319416.005987,csv,False
31,Williemae,Holloway,(510) 246-8375,williemae.holloway@msn.com,69 Cypress St. ,Oakland,CA,94603,1714319416.005987,csv,False
32,Araceli,Golden,Not available,araceli.golden@msn.com,12 Ridgeview Ave. ,Fullerton,CA,92831,1714319416.005987,csv,False
33,Deloris,Burke,Not available,deloris.burke@hotmail.com,895 Edgemont Drive ,Palos Verdes Peninsula,CA,90274,1714319416.005987,csv,False
34,Brittney,Woodward,Not available,brittney.woodward@aol.com,960 River St. ,East Northport,NY,11731,1714319416.005987,csv,False
35,Guillermina,Noble,Not available,guillermina.noble@msn.com,6 Del Monte Lane ,Baldwinsville,NY,13027,1714319416.005987,csv,False
36,Bernita,Mcdaniel,Not available,bernita.mcdaniel@hotmail.com,2 Peg Shop Ave. ,Liverpool,NY,13090,1714319416.005987,csv,False
37,Melia,Brady,Not available,melia.brady@gmail.com,907 Shirley Rd. ,Maspeth,NY,11378,1714319416.005987,csv,False
38,Zelma,Browning,Not available,zelma.browning@aol.com,296 Second Street ,Astoria,NY,11102,1714319416.005987,csv,False
39,Janetta,Aguirre,(717) 670-2634,janetta.aguirre@aol.com,214 Second Court ,Lancaster,NY,14086,1714319416.005987,csv,False
40,Ronna,Butler,Not available,ronna.butler@gmail.com,9438 Plymouth Court ,Encino,CA,91316,1714319416.005987,csv,False
41,Kathie,Freeman,Not available,kathie.freeman@msn.com,667 Temple Dr. ,Queensbury,NY,12804,1714319416.005987,csv,False
42,Tangela,Quinn,Not available,tangela.quinn@aol.com,4 S. Purple Finch Road ,Richmond Hill,NY,11418,1714319416.005987,csv,False
43,Mozelle,Carter,(281) 489-9656,mozelle.carter@aol.com,895 Chestnut Ave. ,Houston,TX,77016,1714319416.005987,csv,False
44,Onita,Johns,Not available,onita.johns@msn.com,32 Glen Creek Lane ,Elmont,NY,11003,1714319416.005987,csv,False
45,Bennett,Armstrong,Not available,bennett.armstrong@aol.com,688 Walnut Street ,Bethpage,NY,11714,1714319416.005987,csv,False
46,Monika,Berg,Not available,monika.berg@gmail.com,369 Vernon Dr. ,Encino,CA,91316,1714319416.005987,csv,False
47,Bridgette,Guerra,Not available,bridgette.guerra@hotmail.com,9982 Manor Drive ,San Lorenzo,CA,94580,1714319416.005987,csv,False
48,Cesar,Jackson,Not available,cesar.jackson@gmail.com,8068 N. Griffin Ave. ,Liverpool,NY,13090,1714319416.005987,csv,False
49,Caroll,Hays,Not available,caroll.hays@yahoo.com,9381 Wrangler St. ,Fairport,NY,14450,1714319416.005987,csv,False
50,Cleotilde,Booth,Not available,cleotilde.booth@gmail.com,17 Corona St. ,Sugar Land,TX,77478,1714319416.005987,csv,False
51,Gertrud,Rhodes,Not available,gertrud.rhodes@aol.com,9961 Meadowbrook Street ,Merrick,NY,11566,1714319416.005987,csv,False
52,Tu,Ramirez,Not available,tu.ramirez@hotmail.com,24 W. Courtland Street ,East Elmhurst,NY,11369,1714319416.005987,csv,False
53,Saturnina,Garner,Not available,saturnina.garner@gmail.com,8538 Fairground St. ,Glendora,CA,91740,1714319416.005987,csv,False
54,Fran,Yang,Not available,fran.yang@hotmail.com,440 Pearl St. ,Utica,NY,13501,1714319416.005987,csv,False
55,Diana,Guerra,Not available,diana.guerra@hotmail.com,45 Chapel Ave. ,Merrick,NY,11566,1714319416.005987,csv,False
56,Lolita,Mosley,(281) 363-3309,lolita.mosley@hotmail.com,376 S. High Ridge St. ,Houston,TX,77016,1714319416.005987,csv,False
57,Pamala,Henry,Not available,pamala.henry@aol.com,197 Bridgeton Ave. ,Bronx,NY,10451,1714319416.005987,csv,False
58,Damien,Dorsey,Not available,damien.dorsey@yahoo.com,161 Old York Street ,Central Islip,NY,11722,1714319416.005987,csv,False
59,Latasha,Stanley,Not available,latasha.stanley@gmail.com,8068 Fordham Drive ,Rockville Centre,NY,11570,1714319416.005987,csv,False
60,Neil,Mccall,Not available,neil.mccall@gmail.com,7476 Oakland Dr. ,San Carlos,CA,94070,1714319416.005987,csv,False
61,Elinore,Aguilar,Not available,elinore.aguilar@msn.com,9766 Rockcrest Ave. ,San Angelo,TX,76901,1714319416.005987,csv,False
62,Alica,Hunter,Not available,alica.hunter@hotmail.com,8 San Juan Drive ,East Elmhurst,NY,11369,1714319416.005987,csv,False
63,Tenisha,Lyons,Not available,tenisha.lyons@aol.com,78 E. Rock Creek Street ,Amityville,NY,11701,1714319416.005987,csv,False
64,Bobbie,Foster,Not available,bobbie.foster@yahoo.com,988 Pineknoll Ave. ,Desoto,TX,75115,1714319416.005987,csv,False
65,Kanesha,Vega,Not available,kanesha.vega@gmail.com,771 E. Oxford Drive ,Rome,NY,13440,1714319416.005987,csv,False
66,Lorrie,Becker,Not available,lorrie.becker@yahoo.com,19 North Court ,Garland,TX,75043,1714319416.005987,csv,False
67,Tommie,Melton,(916) 802-2952,tommie.melton@gmail.com,8 West Old York St. ,Sacramento,CA,95820,1714319416.005987,csv,False
68,Jayne,Kirkland,Not available,jayne.kirkland@hotmail.com,7800 Second Lane ,Rowlett,TX,75088,1714319416.005987,csv,True
69,Katelin,Kennedy,Not available,katelin.kennedy@gmail.com,286 Myrtle Lane ,Rocklin,CA,95677,1714319416.005987,csv,False
70,Tomasa,Carson,Not available,tomasa.carson@aol.com,10 Clark Avenue ,East Elmhurst,NY,11369,1714319416.005987,csv,False
71,Takako,Casey,Not available,takako.casey@aol.com,7548 Court Lane ,Bronx,NY,10451,1714319416.005987,csv,False
72,Petronila,Norris,Not available,petronila.norris@aol.com,72 South Marshall Lane ,South El Monte,CA,91733,1714319416.005987,csv,False
73,Melanie,Hayes,Not available,melanie.hayes@msn.com,5 N. Hall Dr. ,Liverpool,NY,13090,1714319416.005987,csv,False
74,Georgeann,Waller,Not available,georgeann.waller@yahoo.com,9797 Bald Hill Ave. ,North Tonawanda,NY,14120,1714319416.005987,csv,False
75,Abby,Gamble,Not available,abby.gamble@aol.com,60 Myers Dr. ,Amityville,NY,11701,1714319416.005987,csv,False
76,Parker,Prince,Not available,parker.prince@hotmail.com,21 Sulphur Springs Drive ,Port Jefferson Station,NY,11776,1714319416.005987,csv,False
77,Keri,Bridges,Not available,keri.bridges@gmail.com,8504 Brickell Ave. ,Richardson,TX,75080,1714319416.005987,csv,False
78,Chi,Goff,Not available,chi.goff@aol.com,3 W. Glen Ridge Avenue ,Palos Verdes Peninsula,CA,90274,1714319416.005987,csv,False
79,Ashanti,Parks,Not available,ashanti.parks@hotmail.com,846 N. Helen St. ,Baldwin,NY,11510,1714319416.005987,csv,True
80,Sarai,Mckee,(716) 912-8110,sarai.mckee@msn.com,641 Glenwood Avenue ,Buffalo,NY,14215,1714319416.005987,csv,False
81,Zina,Bonner,Not available,zina.bonner@hotmail.com,9312 8th Street ,San Lorenzo,CA,94580,1714319416.005987,csv,False
82,Lizzie,Joyner,Not available,lizzie.joyner@msn.com,8541 Roberts St. ,Coachella,CA,92236,1714319416.005987,csv,False
83,Tiesha,Daniel,Not available,tiesha.daniel@yahoo.com,6 West Bohemia Lane ,Scarsdale,NY,10583,1714319416.005987,csv,False
84,Armand,Whitehead,Not available,armand.whitehead@hotmail.com,639 Harvey St. ,Lindenhurst,NY,11757,1714319416.005987,csv,False
85,Teofila,Fischer,Not available,teofila.fischer@aol.com,1 West Brickyard St. ,Huntington Station,NY,11746,1714319416.005987,csv,False
86,Lissa,Vargas,Not available,lissa.vargas@yahoo.com,517 Victoria Ave. ,Oswego,NY,13126,1714319416.005987,csv,False
87,Yan,Mcgowan,Not available,yan.mcgowan@msn.com,8960 Newport Ave. ,Duarte,CA,91010,1714319416.005987,csv,False
88,Titus,Bullock,Not available,titus.bullock@gmail.com,29 Oxford Avenue ,Hollis,NY,11423,1714319416.005987,csv,False
89,Arvilla,Osborn,Not available,arvilla.osborn@gmail.com,60 Acacia Lane ,Upland,CA,91784,1714319416.005987,csv,False
90,Marjorie,Logan,Not available,marjorie.logan@msn.com,95 Grandrose St. ,Franklin Square,NY,11010,1714319416.005987,csv,False
91,Marvin,Mullins,(619) 635-2027,marvin.mullins@aol.com,7489 Redwood Drive ,San Diego,CA,92111,1714319416.005987,csv,False
92,Tena,Cruz,Not available,tena.cruz@yahoo.com,1 South St. ,Farmingdale,NY,11735,1714319416.005987,csv,False
93,Corrina,Sawyer,(248) 370-1364,corrina.sawyer@yahoo.com,95 Briarwood Lane ,Troy,NY,12180,1714319416.005987,csv,False
94,Sharyn,Hopkins,Not available,sharyn.hopkins@hotmail.com,4 South Temple Ave. ,Baldwinsville,NY,13027,1714319416.005987,csv,False
95,Letitia,Franco,Not available,letitia.franco@aol.com,607 Lakeview Drive ,Saratoga Springs,NY,12866,1714319416.005987,csv,False
96,Floretta,Higgins,Not available,floretta.higgins@hotmail.com,870 Lilac Dr. ,Bayside,NY,11361,1714319416.005987,csv,False
97,Louanne,Martin,Not available,louanne.martin@hotmail.com,1 Campfire Ave. ,Yuba City,CA,95993,1714319416.005987,csv,False
98,Violet,Valenzuela,Not available,violet.valenzuela@msn.com,8668 Piper Street ,Plattsburgh,NY,12901,1714319416.005987,csv,False
99,Carie,Kidd,Not available,carie.kidd@yahoo.com,6 East Clinton Street ,Monroe,NY,10950,1714319416.005987,csv,False
100,Kellie,Franco,Not available,kellie.franco@yahoo.com,444 South Walnut Rd. ,Commack,NY,11725,1714319416.005987,csv,False
101,Nichelle,Howell,Not available,nichelle.howell@aol.com,7670 Forest St. ,Scarsdale,NY,10583,1714319416.005987,csv,False
102,Marisol,Goodman,Not available,marisol.goodman@gmail.com,864 East Cherry St. ,Canandaigua,NY,14424,1714319416.005987,csv,False
103,Sylvie,Wilkerson,Not available,sylvie.wilkerson@yahoo.com,750 Central Ave. ,Syosset,NY,11791,1714319416.005987,csv,False
104,Katharina,Bates,Not available,katharina.bates@gmail.com,54 South Greenview Drive ,Campbell,CA,95008,1714319416.005987,csv,False
105,Marget,Hodge,Not available,marget.hodge@msn.com,7199 Selby Lane ,Woodhaven,NY,11421,1714319416.005987,csv,False
106,Raul,Melendez,Not available,raul.melendez@hotmail.com,9772 Manhattan St. ,Elmhurst,NY,11373,1714319416.005987,csv,False
107,Cecil,Hopper,Not available,cecil.hopper@yahoo.com,471 Glenlake Ave. ,Central Islip,NY,11722,1714319416.005987,csv,False
108,Shae,Hickman,Not available,shae.hickman@hotmail.com,740 Pin Oak Street ,Floral Park,NY,11001,1714319416.005987,csv,False
109,Monica,Sears,(408) 704-8863,monica.sears@aol.com,57 Glenholme St. ,San Jose,CA,95127,1714319416.005987,csv,False
110,Ollie,Zimmerman,(657) 648-2863,ollie.zimmerman@yahoo.com,69 Wood Rd. ,Anaheim,CA,92806,1714319416.005987,csv,False
111,Shila,White,Not available,shila.white@msn.com,94 Lakeshore Street ,Orchard Park,NY,14127,1714319416.005987,csv,False
112,Yuk,Vega,Not available,yuk.vega@yahoo.com,413 Wood St. ,West Hempstead,NY,11552,1714319416.005987,csv,False
113,Eliana,Silva,Not available,eliana.silva@gmail.com,7119 Summer Rd. ,Farmingdale,NY,11735,1714319416.005987,csv,False
114,Thalia,Horne,Not available,thalia.horne@yahoo.com,9312 Harvard Street ,Amityville,NY,11701,1714319416.005987,csv,False
115,Rey,Lindsay,Not available,rey.lindsay@gmail.com,16 Philmont St. ,Monroe,NY,10950,1714319416.005987,csv,False
116,Merlene,Vinson,Not available,merlene.vinson@gmail.com,431 Vine Dr. ,Euless,TX,76039,1714319416.005987,csv,False
117,Dacia,William,Not available,dacia.william@msn.com,62 Cypress Drive ,Sugar Land,TX,77478,1714319416.005987,csv,False
118,Le,Wood,Not available,le.wood@yahoo.com,90 Primrose Dr. ,Pittsford,NY,14534,1714319416.005987,csv,False
119,Thalia,Dillard,Not available,thalia.dillard@yahoo.com,987 NE. Gates Street ,San Angelo,TX,76901,1714319416.005987,csv,False
120,Luz,House,(559) 114-2580,luz.house@gmail.com,491 Railroad Street ,Fresno,CA,93706,1714319416.005987,csv,False
121,Lucy,Woods,Not available,lucy.woods@gmail.com,8437 West Rockaway St. ,Palos Verdes Peninsula,CA,90274,1714319416.005987,csv,False
122,Shena,Carter,Not available,shena.carter@yahoo.com,72 University Road ,Howard Beach,NY,11414,1714319416.005987,csv,False
123,Robena,Hill,(361) 598-4414,robena.hill@hotmail.com,263 Cross St. ,Corpus Christi,TX,78418,1714319416.005987,csv,False
124,Jeni,Booker,Not available,jeni.booker@gmail.com,546 Railroad Dr. ,South El Monte,CA,91733,1714319416.005987,csv,False
125,Herlinda,Stone,Not available,herlinda.stone@msn.com,725 Gulf St. ,Canandaigua,NY,14424,1714319416.005987,csv,False
126,Lavina,Dejesus,Not available,lavina.dejesus@msn.com,59 E. Valley Avenue ,Newburgh,NY,12550,1714319416.005987,csv,False
127,Erlinda,Nielsen,Not available,erlinda.nielsen@aol.com,728 Oxford Lane ,Maspeth,NY,11378,1714319416.005987,csv,False
128,Terrance,Lynn,Not available,terrance.lynn@yahoo.com,91 East Buckingham Drive ,Plattsburgh,NY,12901,1714319416.005987,csv,False
129,Walton,Dejesus,Not available,walton.dejesus@yahoo.com,15 Washington Rd. ,Lockport,NY,14094,1714319416.005987,csv,False
130,Wes,Stanton,(248) 247-5074,wes.stanton@msn.com,8662 Tunnel Street ,Troy,NY,12180,1714319416.005987,csv,False
131,Tanesha,Hampton,Not available,tanesha.hampton@hotmail.com,19 Belmont Ave. ,Syosset,NY,11791,1714319416.005987,csv,False
132,Boyd,Irwin,Not available,boyd.irwin@hotmail.com,221 Whitemarsh St. ,Hamburg,NY,14075,1714319416.005987,csv,False
133,Delbert,Wilkins,Not available,delbert.wilkins@aol.com,420 Greenview St. ,Coram,NY,11727,1714319416.005987,csv,False
134,Brianna,Moss,(516) 156-8031,brianna.moss@msn.com,4 Longfellow St. ,Hempstead,NY,11550,1714319416.005987,csv,False
135,Dorthey,Jackson,(281) 926-8010,dorthey.jackson@msn.com,9768 Brookside St. ,Houston,TX,77016,1714319416.005987,csv,False
136,Sarita,Parks,Not available,sarita.parks@msn.com,7809 Second Lane ,Forney,TX,75126,1714319416.005987,csv,False
137,Shonta,Mercer,Not available,shonta.mercer@aol.com,319 NE. La Sierra Avenue ,Massapequa,NY,11758,1714319416.005987,csv,False
138,Jone,Bernard,(657) 536-5165,jone.bernard@hotmail.com,99 Longbranch Court ,Anaheim,CA,92806,1714319416.005987,csv,False
139,Wanita,Davenport,Not available,wanita.davenport@aol.com,525 Dogwood Ave. ,Spring Valley,NY,10977,1714319416.005987,csv,False
140,Cleopatra,Tate,Not available,cleopatra.tate@aol.com,97 N. Glenwood St. ,East Elmhurst,NY,11369,1714319416.005987,csv,False
141,Ramiro,Byers,Not available,ramiro.byers@gmail.com,16 Pleasant St. ,Saint Albans,NY,11412,1714319416.005987,csv,False
142,Nicholas,Vazquez,Not available,nicholas.vazquez@hotmail.com,9 Roosevelt Street ,West Hempstead,NY,11552,1714319416.005987,csv,False
143,Janae,Doyle,Not available,janae.doyle@gmail.com,760 Rose Ave. ,Jackson Heights,NY,11372,1714319416.005987,csv,False
144,Hans,Price,Not available,hans.price@hotmail.com,51 Glendale Road ,Port Chester,NY,10573,1714319416.005987,csv,False
145,Miquel,Neal,Not available,miquel.neal@hotmail.com,9564 Deerfield Lane ,Staten Island,NY,10301,1714319416.005987,csv,False
146,Stefany,Potter,Not available,stefany.potter@gmail.com,256 South Academy St. ,Saratoga Springs,NY,12866,1714319416.005987,csv,False
147,Bernetta,Marquez,Not available,bernetta.marquez@hotmail.com,626 E. Dunbar Street ,Smithtown,NY,11787,1714319416.005987,csv,False
148,Julee,Woodard,Not available,julee.woodard@yahoo.com,869 Summerhouse Dr. ,Richmond Hill,NY,11418,1714319416.005987,csv,False
149,Meredith,Bryan,Not available,meredith.bryan@hotmail.com,8935 E. Oxford St. ,Spring Valley,NY,10977,1714319416.005987,csv,False
150,Weldon,Michael,Not available,weldon.michael@hotmail.com,9952 Nut Swamp St. ,Huntington,NY,11743,1714319416.005987,csv,False
151,Joesph,Delacruz,Not available,joesph.delacruz@aol.com,184 Cypress Street ,Atwater,CA,95301,1714319416.005987,csv,False
152,Katherina,Odom,Not available,katherina.odom@yahoo.com,897 N. Oak Drive ,Plainview,NY,11803,1714319416.005987,csv,False
153,Laraine,Robbins,Not available,laraine.robbins@yahoo.com,8214 E. Pin Oak Lane ,San Angelo,TX,76901,1714319416.005987,csv,False
154,Jenise,Preston,Not available,jenise.preston@yahoo.com,9 Littleton Drive ,Helotes,TX,78023,1714319416.005987,csv,False
155,Lory,Page,Not available,lory.page@hotmail.com,58 Summerhouse Street ,Bay Shore,NY,11706,1714319416.005987,csv,False
156,Charlyn,Cantrell,Not available,charlyn.cantrell@yahoo.com,8756 Euclid St. ,West Islip,NY,11795,1714319416.005987,csv,False
157,Carola,Rodriquez,Not available,carola.rodriquez@hotmail.com,9433 Heritage Lane ,Banning,CA,92220,1714319416.005987,csv,False
158,Alane,Kennedy,Not available,alane.kennedy@yahoo.com,34 Green Lake Street ,Spring Valley,NY,10977,1714319416.005987,csv,False
159,Regina,Burns,Not available,regina.burns@aol.com,713 Buckingham St. ,Garland,TX,75043,1714319416.005987,csv,False
160,Omer,Estrada,Not available,omer.estrada@gmail.com,9 Honey Creek Street ,Rowlett,TX,75088,1714319416.005987,csv,True
161,Crystle,Gilliam,Not available,crystle.gilliam@yahoo.com,86 Edgewater Road ,Smithtown,NY,11787,1714319416.005987,csv,False
162,Kam,Wilder,Not available,kam.wilder@hotmail.com,500 West Clay Ave. ,Newburgh,NY,12550,1714319416.005987,csv,False
163,Margert,Stevens,Not available,margert.stevens@aol.com,502 North Poplar St. ,Rome,NY,13440,1714319416.005987,csv,False
164,Tomika,Larson,Not available,tomika.larson@yahoo.com,254 Canal St. ,Woodside,NY,11377,1714319416.005987,csv,False
165,Jeromy,Burch,(408) 955-8238,jeromy.burch@msn.com,889 Mulberry Street ,San Jose,CA,95127,1714319416.005987,csv,False
166,Lena,Mills,Not available,lena.mills@yahoo.com,42 Homestead St. ,Woodhaven,NY,11421,1714319416.005987,csv,False
167,Loreta,Johnston,Not available,loreta.johnston@yahoo.com,39 Lafayette Dr. ,Spring Valley,NY,10977,1714319416.005987,csv,False
168,Nettie,Mcdaniel,Not available,nettie.mcdaniel@hotmail.com,7004 E. Wakehurst St. ,South Ozone Park,NY,11420,1714319416.005987,csv,False
169,Karla,Kirk,Not available,karla.kirk@yahoo.com,9718 Harvard Rd. ,Palos Verdes Peninsula,CA,90274,1714319416.005987,csv,False
170,Regine,Gonzales,(805) 763-4045,regine.gonzales@gmail.com,798 Court Drive ,Oxnard,CA,93035,1714319416.005987,csv,False
171,Miriam,Baker,Not available,miriam.baker@hotmail.com,90 Studebaker St. ,Uniondale,NY,11553,1714319416.005987,csv,False
172,Jeanie,Kirkland,Not available,jeanie.kirkland@aol.com,7643 Old Theatre St. ,Santa Clara,CA,95050,1714319416.005987,csv,False
173,Marquerite,Dawson,Not available,marquerite.dawson@gmail.com,37 Hamilton Court ,Garland,TX,75043,1714319416.005987,csv,False
174,Babara,Ochoa,Not available,babara.ochoa@aol.com,872 Smith Store St. ,Scarsdale,NY,10583,1714319416.005987,csv,False
175,Nova,Hess,Not available,nova.hess@msn.com,773 South Lafayette St. ,Duarte,CA,91010,1714319416.005987,csv,False
176,Carley,Reynolds,Not available,carley.reynolds@gmail.com,2 Snake Hill Drive ,South El Monte,CA,91733,1714319416.005987,csv,False
177,Carissa,Foreman,Not available,carissa.foreman@msn.com,69C N. Ridge Rd. ,Maspeth,NY,11378,1714319416.005987,csv,False
178,Genoveva,Tyler,(212) 152-6381,genoveva.tyler@gmail.com,8121 Windfall Ave. ,New York,NY,10002,1714319416.005987,csv,False
179,Deane,Sears,Not available,deane.sears@hotmail.com,3 Bradford Court ,Pittsford,NY,14534,1714319416.005987,csv,False
180,Karey,Steele,Not available,karey.steele@gmail.com,8879 Kent Lane ,Farmingdale,NY,11735,1714319416.005987,csv,False
181,Olevia,Pitts,Not available,olevia.pitts@gmail.com,39 Fieldstone Drive ,Redondo Beach,CA,90278,1714319416.005987,csv,False
182,Jenniffer,Bullock,Not available,jenniffer.bullock@msn.com,38 Oxford Avenue ,Bay Shore,NY,11706,1714319416.005987,csv,False
183,Jeniffer,Ratliff,Not available,jeniffer.ratliff@gmail.com,510 Rocky River Court ,Floral Park,NY,11001,1714319416.005987,csv,False
184,Klara,Stanley,Not available,klara.stanley@aol.com,603 Mechanic St. ,Webster,NY,14580,1714319416.005987,csv,False
185,Morton,Lee,Not available,morton.lee@yahoo.com,313 Ridge St. ,San Angelo,TX,76901,1714319416.005987,csv,False
186,Ken,Charles,Not available,ken.charles@msn.com,9124 W. Piper Lane ,Monsey,NY,10952,1714319416.005987,csv,False
187,Hedwig,Paul,Not available,hedwig.paul@msn.com,422 Manor Ave. ,Apple Valley,CA,92307,1714319416.005987,csv,False
188,Sharla,Flynn,(805) 478-7724,sharla.flynn@hotmail.com,7 Brown Drive ,Oxnard,CA,93035,1714319416.005987,csv,False
189,Damian,Dawson,Not available,damian.dawson@hotmail.com,528 St Margarets Street ,Liverpool,NY,13090,1714319416.005987,csv,False
190,Toya,Pratt,(562) 218-6405,toya.pratt@yahoo.com,485 San Pablo Drive ,Long Beach,NY,11561,1714319416.005987,csv,False
191,Graciela,Barber,(805) 656-6987,graciela.barber@hotmail.com,1 E. Young St. ,Oxnard,CA,93035,1714319416.005987,csv,False
192,Bong,Hebert,Not available,bong.hebert@gmail.com,545 Brook St. ,Torrance,CA,90505,1714319416.005987,csv,False
193,Ayanna,Rhodes,Not available,ayanna.rhodes@msn.com,7425 Pheasant St. ,Hicksville,NY,11801,1714319416.005987,csv,False
194,Dorine,Roberson,Not available,dorine.roberson@msn.com,396 Meadowbrook Lane ,Santa Cruz,CA,95060,1714319416.005987,csv,True
195,Addie,Hahn,Not available,addie.hahn@hotmail.com,8165 Baker Ave. ,Franklin Square,NY,11010,1714319416.005987,csv,False
196,Edythe,Valencia,Not available,edythe.valencia@yahoo.com,9346 Wall St. ,North Tonawanda,NY,14120,1714319416.005987,csv,False
197,Andy,O'neill,Not available,andy.o'neill@msn.com,9544 Mulberry Drive ,Rego Park,NY,11374,1714319416.005987,csv,False
198,Luis,Tyler,Not available,luis.tyler@gmail.com,9568 Campfire Circle ,Amarillo,TX,79106,1714319416.005987,csv,False
199,Clelia,Workman,Not available,clelia.workman@yahoo.com,620 North Somerset St. ,New Windsor,NY,12553,1714319416.005987,csv,False
200,Ashely,Holmes,Not available,ashely.holmes@aol.com,45 High Ridge Ave. ,Farmingdale,NY,11735,1714319416.005987,csv,False
201,Candis,Harding,Not available,candis.harding@gmail.com,33 NW. Cambridge Ave. ,Ballston Spa,NY,12020,1714319416.005987,csv,False
202,Marni,Bolton,(717) 670-6268,marni.bolton@msn.com,7469 Plymouth Ave. ,Lancaster,NY,14086,1714319416.005987,csv,False
203,Minerva,Decker,(281) 271-6390,minerva.decker@yahoo.com,794 Greenrose Street ,Houston,TX,77016,1714319416.005987,csv,False
204,Alpha,King,Not available,alpha.king@hotmail.com,14 Henry Smith St. ,Rockville Centre,NY,11570,1714319416.005987,csv,False
205,Harris,Pittman,Not available,harris.pittman@yahoo.com,404 Cherry Hill Road ,Jamaica,NY,11432,1714319416.005987,csv,False
206,Stephaine,Riddle,Not available,stephaine.riddle@hotmail.com,199 Vermont Court ,Brooklyn,NY,11201,1714319416.005987,csv,False
207,Michel,Blankenship,Not available,michel.blankenship@msn.com,382 West Hill Dr. ,Forney,TX,75126,1714319416.005987,csv,False
